date,close,return,tweet_count,pos,neu,neg,tweet_day
2020-01-02,28.68400001525879,NA,0,0,0,0,0
2020-01-03,29.534000396728516,0.02963325829792085,0,0,0,0,0
2020-01-06,30.1026668548584,0.01925463704513497,2,0,2,0,1
2020-01-07,31.270666122436523,0.03880052465815398,13,4,9,0,1
2020-01-08,32.80933380126953,0.04920482578812169,2,1,1,0,1
2020-01-09,32.089332580566406,-0.021945011900097344,2,0,2,0,1
2020-01-10,31.876667022705078,-0.006627297633174267,15,6,8,1,1
2020-01-13,34.990665435791016,0.09768895885093332,1,1,0,0,1
2020-01-14,35.861331939697266,0.024882822120200876,7,6,1,0,1
2020-01-15,34.56666564941406,-0.03610201351305786,1,1,0,0,1
2020-01-16,34.232666015625,-0.009662477636014799,6,2,2,2,1
2020-01-17,34.03333282470703,-0.005822894156913949,20,5,15,0,1
2020-01-21,36.47999954223633,0.07189030619278935,7,3,4,0,1
2020-01-22,37.97066879272461,0.04086264444061727,11,4,6,1,1
2020-01-23,38.14666748046875,0.004635122144013071,7,4,3,0,1
2020-01-24,37.654666900634766,-0.012897603180825445,2,1,1,0,1
2020-01-27,37.201332092285156,-0.012039272835579595,3,1,2,0,1
2020-01-28,37.793331146240234,0.015913383222044608,5,1,4,0,1
2020-01-29,38.732666015625,0.024854513769903885,10,4,5,1,1
2020-01-30,42.72066879272461,0.10296225866535558,5,0,4,1,1
2020-01-31,43.371334075927734,0.015230690473505337,17,2,13,2,1
2020-02-03,52,0.19894859376394902,15,8,6,1,1
2020-02-04,59.137332916259766,0.13725640223576474,4,2,2,0,1
2020-02-05,48.97999954223633,-0.1717583947927872,10,2,8,0,1
2020-02-06,49.930667877197266,0.01940931694254422,25,6,17,2,1
2020-02-07,49.871334075927734,-0.001188323805631053,7,3,3,1,1
2020-02-10,51.41866683959961,0.031026496329857656,21,9,12,0,1
2020-02-11,51.62533187866211,0.004019260937028868,0,0,0,0,0
2020-02-12,51.15266799926758,-0.009155657933695438,6,3,3,0,1
2020-02-13,53.599998474121094,0.047843652551780025,2,1,0,1,1
2020-02-14,53.33533477783203,-0.004937755668348531,8,1,7,0,1
2020-02-18,57.22666549682617,0.0729597130158357,5,2,2,1,1
2020-02-19,61.16133117675781,0.06875580895325561,6,2,4,0,1
2020-02-20,59.96066665649414,-0.019631105097986157,16,2,13,1,1
2020-02-21,60.06666564941406,0.0017678087791648256,4,0,3,1,1
2020-02-24,55.58599853515625,-0.07459490327646512,0,0,0,0,0
2020-02-25,53.32733154296875,-0.040633739641448896,14,4,10,0,1
2020-02-26,51.91999816894531,-0.026390470576789893,9,3,5,1,1
2020-02-27,45.266666412353516,-0.1281458395846271,2,0,2,0,1
2020-02-28,44.53266525268555,-0.016215047800994142,2,1,1,0,1
2020-03-02,49.574668884277344,0.11322034293215233,10,3,7,0,1
2020-03-03,49.70066833496094,0.0025416095259802596,10,5,4,1,1
2020-03-04,49.96666717529297,0.0053520173720666975,5,3,2,0,1
2020-03-05,48.30266571044922,-0.033302230445070524,1,1,0,0,1
2020-03-06,46.89866638183594,-0.029066704869448956,1,0,0,1,1
2020-03-09,40.53333282470703,-0.13572525720249962,3,0,3,0,1
2020-03-10,43.02199935913086,0.061398023823663106,18,8,8,2,1
2020-03-11,42.28200149536133,-0.017200452670558586,20,6,11,3,1
2020-03-12,37.369998931884766,-0.11617242301113506,1,0,0,1,1
2020-03-13,36.44133377075195,-0.0248505535904755,0,0,0,0,0
2020-03-16,29.67133331298828,-0.18577806455584012,9,1,5,3,1
2020-03-17,28.68000030517578,-0.03341046380880208,9,3,5,1,1
2020-03-18,24.08133316040039,-0.1603440409986845,13,2,8,3,1
